eb670	eb670	ec01f
ec020	ec020	ec8fc
ec900	ec900	ec960
ec960	ec960	edece
eded0	eded0	edf94
edfa0	edfa0	ee9e9
ee9f0	ee9f0	eea4b
eea50	eea50	eeaea
eeaf0	eeaf0	eeb4e
eeb50	eeb50	efa34
efd00	efd00	efee3
efef0	efef0	eff51
eff60	eff60	f01c4
f01d0	f01d0	f032f
f0330	f0330	f093d
f0940	f0940	f099e
f09a0	f09a0	f0a1d
f0a20	f0a20	f0b23
f0b30	f0b30	f0b71
f0be0	f0be0	f0c3c
f0c40	f0c40	f0d89
f0d90	f0d90	f0ee5
f0f30	f0f30	f1022
f62b4	f62b4	f632a
f6380	f6380	f6660
f6660	f6660	f668d
f6690	f6690	f66d3
f66e0	f66e0	f693c
f6940	f6940	f6e04
f6e10	f6e10	f6e27
f6e30	f6e30	f6e74
f6e80	f6e80	f7009
f7010	f7010	f71be
f71c0	f71c0	f739d
f73a0	f73a0	f751e
f7520	f7520	f78e3
f78f0	f78f0	f7a5b
f7a60	f7a60	f7ab3
f7ac0	f7ac0	f7b49
f7b50	f7b50	f7c9e
f7ca0	f7ca0	f7d4d
f7d50	f7d50	f7df7
f7e00	f7e00	f7ec2
f7ed0	f7ed0	f81ec
f81f0	f81f0	f8389
f8390	f8390	f860f
f8610	f8610	f8663
f8680	f8680	f8755
f8760	f8760	f89ae
f89b0	f89b0	f8d34
f8d60	f8d60	f8dd9
f8de0	f8de0	f8eb6
f8ec0	f8ec0	f914a
f9160	f9160	f91d2
f91e0	f91e0	f9205
f9210	f9210	f928e
f9290	f9290	f92e7
f92f0	f92f0	f9574
f9580	f9580	f9850
f9850	f9850	f98ea
f98f0	f98f0	f9f3b
f9f40	f9f40	fa4c8
fa4d0	fa4d0	fab7c
fab80	fab80	fae71
fae80	fae80	fb5c7
fb5d0	fb5d0	fb5db
fb5e0	fb5e0	fb662
fb670	fb670	fb6d2
fb6e0	fb6e0	fbe1e
fbe20	fbe20	fbe36
fbe40	fbe40	fbfc3
fbfd0	fbfd0	fc16a
fc170	fc170	fc3de
fc3e0	fc3e0	fc43d
fc440	fc440	fc695
fc6a0	fc6a0	fc71d
fc730	fc730	fc7b3
fc7c0	fc7c0	fc874
fc880	fc880	fc916
fc920	fc920	fc9c7
fca30	fca30	fcb4d
fcb50	fcb50	fcb9c
fcba0	fcba0	fcda6
fcdc0	fcdc0	fce55
fce60	fce60	fd0b7
fd0c0	fd0c0	fd164
